true_code;RA_g;RA_h;PER_1;SDPRO_std;DI_an;DI_ex;DI_ez;DI_hd;DI_w_short;RSD_05;RSD_510;ldmc
OSTVIR;0;0;0;2;0;0;0;0;1;0;0;422.249764296302
Oxalis.sp.;1;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
OXASTR;1;0;0;1;0;1;0;0;0;1;0;NA
PANQUI;1;0;0;NA;0;0;1;0;0;NA;NA;NA
PARQUI;0;0;0;NA;0;0;0;0;0;0;0;155.866146650196
Parthenocissus.sp.;0;0;0;NA;0;0;0;0;0;0;0;150.88559029824
PHRLEP;0;1;0;1;0;0;0;0;0;1;0;125.762137119505
Picea.sp.;0;0;0;2;0;0;1;1;0;0;0;NA
PLAMAJ;0;1;0;2;0;0;1;1;0;0;0;NA
POLACR;0;1;0;NA;0;1;0;0;0;1;0;243.624261430716
POLPUB;1;0;0;1;0;0;0;0;0;1;0;152.022756372557
Polygonatum.sp.;1;0;0;1;NA;NA;NA;NA;NA;NA;NA;152.022756372557
POPDEL;0;0;0;2;0;0;0;0;0;0;0;296.694522202506
POPGRA;0;0;0;2;0;0;0;0;0;0;0;345.01976284585
POPTRE;0;0;0;2;0;0;0;0;0;0;0;NA
Populus.sp.;0;0;0;2;0;0;0;0;0;NA;NA;302.735177282924
Prenanthes.sp.;0;1;0;NA;NA;NA;NA;NA;NA;1;0;NA
PRUAME;0;0;0;NA;NA;NA;1;NA;NA;NA;NA;304.336066343801
PRUNIG;0;0;0;NA;0;0;1;0;0;NA;NA;210.775993079246
Prunus.sp.;0;0;0;NA;NA;NA;1;NA;NA;NA;NA;279.206502387958
PRUSER;0;0;0;2;0;0;1;0;0;0;0;276.75038913898
PRUVIR;0;0;0;1;0;0;1;0;0;0;0;282.617822237375
PTEAQU;1;0;0;2;0;1;0;0;0;1;1;NA
PYRELL;0;1;0;2;0;0;0;0;0;1;1;224.949677414273
QUEALB;0;0;0;2;0;0;1;0;1;0;0;NA
QUEMAC;0;0;0;2;0;0;1;0;1;0;0;NA
Quercus.sp.;0;0;0;NA;0;0;1;1;1;NA;NA;393.810073833599
QUERUB;0;0;0;2;0;0;1;1;1;0;0;393.810073833599
RAMCAT;0;0;0;2;0;0;1;1;0;0;0;223.075133879311
REYJAP;NA;NA;0;NA;NA;NA;NA;NA;1;NA;NA;NA
RHURAD;0;0;0;1;0;0;1;0;0;1;0;240.184142953664
RIBCYN;0;0;0;NA;0;0;1;0;0;NA;NA;205.077693596497
Ribes.sp.;0;0;0;NA;0;0;1;0;0;NA;NA;204.987452974811
RIBGLA;0;0;0;1;0;0;1;0;0;0;0;NA
RIBRUB;0;0;0;2;NA;NA;1;NA;NA;NA;NA;NA
RIBTRI;0;0;0;1;0;0;1;0;0;0;0;197.209988501508
Rosa.sp.;NA;NA;0;1;0;0;1;0;0;NA;NA;NA
RUBALL;0;1;0;NA;0;0;1;0;0;0;0;NA
RUBDAL;0;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA
RUBIDA;0;1;0;2;0;0;1;0;0;0;0;189.52588695708
RUBODO;0;1;0;2;0;0;1;0;0;NA;NA;165.545065925699
RUBPUB;0;1;0;1;0;0;1;0;0;1;0;NA
Rubus.sp.;0;1;0;NA;0;0;1;0;0;NA;NA;191.935004541828
RUMOBT;NA;NA;0;NA;NA;NA;NA;NA;1;NA;NA;NA
SAMRAC;0;0;0;2;0;0;1;0;0;NA;NA;317.83908045977
SANCAN;1;0;0;1;1;0;0;0;0;1;0;103.114732570188
SANICAN;0;1;0;NA;0;0;0;0;0;NA;NA;145.386204418897
SMIHER;0;1;0;2;0;0;0;0;0;NA;NA;NA
SOLCAE;0;1;0;NA;NA;NA;NA;NA;NA;0;0;NA
SOLDUL;0;1;0;1;0;0;0;1;0;NA;NA;NA
SOLFLE;0;1;0;1;0;0;0;0;0;1;0;189.558069283574
SOLGIG;0;1;0;2;0;0;0;0;0;0;0;NA
SOLHIS;0;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
SOLPUB;0;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
SOLRUG;0;1;0;2;0;0;0;0;0;0;0;NA
Sorbus.sp.;0;0;0;2;NA;NA;1;NA;NA;NA;NA;NA
SORDEC;NA;NA;0;NA;0;0;0;0;0;0;0;NA
SORHYB;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA
STATRI;0;0;0;NA;0;0;0;0;1;NA;NA;155.799704694383
Streptopus.sp.;1;0;0;1;0;0;1;0;0;NA;NA;74.0134984277119
STRLAN;1;0;0;1;0;0;1;0;0;1;1;74.0134984277119
